"Country Name","Continent","Total Population","Square Miles","Population Per Mile"
"Macao","Asia",473000,18,26277.78
"Monaco","Europe",34000,1.5,22666.67
"Hong Kong","Asia",6782000,1075,6308.84
"Singapore","Asia",3567000,618,5771.84
"Gibraltar","Europe",25000,6,4166.67
"Holy See (Vatican City State)","Europe",1000,0.4,2500
"Bermuda","North America",65000,53,1226.42
"Malta","Europe",380200,316,1203.16
"Maldives","Asia",286000,298,959.73
"Bangladesh","Asia",129155000,143998,896.92
"Bahrain","Asia",617000,694,889.05
"Barbados","North America",270000,430,627.91
"Taiwan","Asia",22256000,36188,615.01
"Nauru","Oceania",12000,21,571.43
"Mauritius","Africa",1158000,2040,567.65
"Aruba","North America",103000,193,533.68
"Palestine","Asia",3101000,6257,495.6
"South Korea","Asia",46844000,99434,471.11
"Tuvalu","Oceania",12000,26,461.54
"San Marino","Europe",27000,61,442.62
"Puerto Rico","North America",3869000,8875,435.94
"Mayotte","Africa",149000,373,399.46
"Netherlands","Europe",15864000,41526,382.03
"Martinique","North America",395000,1102,358.44
"Marshall Islands","Oceania",64000,181,353.59
"American Samoa","Oceania",68000,199,341.71
"Belgium","Europe",10239000,30518,335.51
"Japan","Asia",126714000,377829,335.37
"Lebanon","Asia",3282000,10400,315.58
"Comoros","Africa",578000,1862,310.42
"India","Asia",1013662000,3287260,308.36
"Guam","Oceania",168000,549,306.01
"El Salvador","North America",6276000,21041,298.27
"Haiti","North America",8222000,27750,296.29
"Israel","Asia",6217000,21056,295.26
"Saint Vincent and the Grenadines","North America",114000,388,293.81
"Rwanda","Africa",7733000,26338,293.61
"Sri Lanka","Asia",18827000,65610,286.95
"R̩union","Africa",699000,2510,278.49
"Grenada","North America",94000,344,273.26
"Netherlands Antilles","North America",217000,800,271.25
"Virgin Islands, U.S.","North America",93000,347,268.01
"Guadeloupe","North America",456000,1705,267.45
"Philippines","Asia",75967000,300000,253.22
"Trinidad and Tobago","North America",1295000,5130,252.44
"Saint Lucia","North America",154000,622,247.59
"United Kingdom","Europe",59623400,242900,245.46
"Vietnam","Asia",79832000,331689,240.68
"Burundi","Africa",6695000,27834,240.53
"Jamaica","North America",2583000,10990,235.03
"Germany","Europe",82164700,357022,230.14
"Liechtenstein","Europe",32300,160,201.88
"North Korea","Asia",24039000,120538,199.43
"Pakistan","Asia",156483000,796095,196.56
"Italy","Europe",57680000,301316,191.43
"Dominican Republic","North America",8495000,48511,175.11
"Switzerland","Europe",7160400,41284,173.44
"Micronesia, Federated States of","Oceania",119000,702,169.52
"Seychelles","Africa",77000,455,169.23
"Luxembourg","Europe",435700,2586,168.48
